"setup","n","d","sigma","S","T","X","U","CB","R","oracle"
"A","500","6","0.5","0.06830322","0.11105734","0.03832293","0.07204827","0.03414911","0.03853346","0.03620047"
"A","500","6","1","0.13889267","0.21455739","0.07658427","0.15613549","0.06201217","0.07083014","0.06560062"
"A","500","6","3","0.41915502","0.77733167","0.27101349","0.92138409","0.20478150","0.28912844","0.30081307"
"A","1000","6","0.5","0.05708012","0.08559185","0.02590912","0.06167303","0.02544180","0.02686306","0.02508973"
"A","1000","6","1","0.10575690","0.16937103","0.05590825","0.13879666","0.04008580","0.05600838","0.05367852"
"A","1000","6","3","0.32468320","0.53497891","0.18280442","0.70867794","0.15615623","0.18176963","0.16590505"
"B","500","6","0.5","0.23918812","0.31867250","0.15214932","0.24959356","0.64790835","0.21860312","0.13973092"
"B","500","6","1","0.39459054","0.54285221","0.28413831","0.45315432","0.73501496","0.34332610","0.29598692"
"B","500","6","3","1.15229441","1.41317368","0.85487939","1.20174795","1.26506346","1.07373452","0.97538248"
"B","1000","6","0.5","0.17905005","0.23585102","0.09575934","0.16684873","0.57132132","0.12824954","0.08919086"
"B","1000","6","1","0.29492461","0.39578288","0.18731941","0.31276409","0.60992957","0.23135644","0.19841484"
"B","1000","6","3","0.86078133","1.08751861","0.66735023","0.96494492","1.00416894","0.76964121","0.75890819"
"C","500","6","0.5","0.33674840","0.67680287","0.14953938","1.45474205","1.12511310","0.08592457","0.02528976"
"C","500","6","1","0.55442483","1.03402493","0.25387946","1.29260981","1.12512024","0.15077683","0.08459694"
"C","500","6","3","1.41056517","2.62558034","0.63568301","2.02055374","1.09486938","0.47017268","0.44068843"
"C","1000","6","0.5","0.24921153","0.48092905","0.08880718","1.38123098","1.14600005","0.05649145","0.02268392"
"C","1000","6","1","0.40591949","0.76332056","0.15342888","1.29485091","1.14124872","0.10311543","0.07324838"
"C","1000","6","3","1.13485331","1.99008742","0.48215992","1.55889031","1.10532944","0.30908693","0.28419509"
"D","500","6","0.5","0.41448239","0.33980624","0.40807913","0.65954675","1.19519126","0.43308622","0.38168225"
"D","500","6","1","0.60102655","0.56630663","0.60865491","1.02695218","1.27807072","0.67201385","0.63855537"
"D","500","6","3","1.23980659","1.44611906","1.33862850","2.06218125","1.55101609","1.53938503","1.51301604"
"D","1000","6","0.5","0.28583376","0.22631686","0.27295192","0.51793860","1.14151961","0.29885579","0.26405180"
"D","1000","6","1","0.44626444","0.40646903","0.42225742","0.77789582","1.17667571","0.48238517","0.46581929"
"D","1000","6","3","1.01265042","1.13474861","1.09484432","1.71164147","1.45459287","1.20019337","1.20045811"
